Accident.Quarter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
199403,708,46870,210997,722773,1036520,779073,466532,309628,988522,1688616,986112,1301459,1591085,1019638,1292287,1124167,1944022,818038,1629702,646599,1760819,1700127,478913,582355,164498,256478,1590824,146818,490413
199404,29852,309113,1024889,1800177,2816746,2212853,1760893,2421261,4288005,4579642,4377977,5123003,7754661,4222917,6203941,3020141,5881048,4686012,3571974,1553494,2656549,3285324,2407632,3295700,2119676,692293,282175,1228759,1361783
199501,21844,437052,1046652,1920867,1332574,1337472,2051225,3918803,2619293,3324699,5303010,5847994,2623561,3809210,4993996,5238491,4625173,3863956,3071071,4782992,1691103,1844924,338810,1718604,504705,1342039,290422,560402,625708
199502,18273,376078,1276962,1174967,1558260,2816492,2732461,2780637,4097956,4898927,11092291,4484040,5081705,6513864,6208603,7087184,4848561,3591583,4663220,2869932,4115010,2523949,2813561,968660,338316,772627,1555025,589990,1965778
199503,21311,524370,692640,1541935,2165737,3143892,2258016,3711482,4548787,6395104,4079234,4560550,5875696,5431365,5368143,4657948,9013717,5376622,3816492,3121309,1928343,2390223,1541057,853111,1528066,1445814,732562,1314417,570853
199504,44505,186564,579974,1425879,2043809,1896633,2855013,4075093,3815263,3670414,6340207,5858632,7794654,3849666,4171142,4656468,3749432,3397047,4435436,2634214,2608763,771787,727873,416690,1605967,3806672,1212303,738264,1253050
199601,23013,204638,1019499,1657638,2313595,2645931,3340651,3613252,3427014,3645455,4038041,5818788,4688987,5723472,5044982,4093022,4492338,4372446,3597181,2957008,953171,1281908,1629412,2434422,4612417,661322,1755754,1178202,794514
199602,21967,388716,1181203,1434999,2168164,2992600,3286416,3088910,4172317,7175736,5104621,4816552,6161660,6821868,5008658,4287463,8710693,3301191,3046368,1938379,1776449,1652350,6931590,2418680,3219904,816737,1685812,688904,142474
199603,14967,366730,1010245,2078784,3025938,2781043,3088703,4853875,6226164,5576230,6356838,5527688,4649710,7924057,5138604,4510416,4672239,3377480,2178359,4269167,3579950,2456168,7961126,2673753,1217780,1340644,3405574,771589,706348
199604,5479,273582,1213765,1971161,2967597,2620880,4778275,4188024,4026840,5215521,5350446,5961069,7674024,3754811,6734584,2569878,3556846,1765276,4279838,7023010,993686,1538258,2000706,1563208,1355807,1145598,1831468,100415,1102577
199701,46006,322519,1028232,2305088,2057772,2865809,4660941,5834979,3994550,6721011,5338823,5777077,5260945,3881630,3870714,4929751,3152813,5501651,11714228,6996184,1804933,4086760,2360914,3508929,396504,1047149,738425,609492,210983
199702,6913,413411,1590195,1806384,2729233,3024059,5221191,3800347,5728218,4257711,4538716,3405486,6620697,3247988,5404251,2606136,3736167,3708091,2687529,2628310,2318449,2549058,2594069,1710927,2332302,777195,7668031,135100,872929
199703,38011,502988,1130664,2594215,2470040,4142909,3383692,4793158,5958121,9345388,4541376,9624877,4422552,5218852,3281801,5323684,3863947,4660096,2582405,3766523,2501122,5307252,1484844,1833009,1770295,568749,414047,736499,588139
199704,39296,397458,1560389,2548104,3717936,3268245,4825918,7791976,6632534,5583635,6239829,4326258,4859793,4529800,3137292,4280509,5547567,1939561,2791597,1952458,3099182,4870344,1101258,1777747,1517389,190082,2968770,651239,978571
199801,14758,348399,1444004,2711821,2997413,3718662,4889752,4750426,4585004,5258709,4174905,5571493,3172694,7610661,3469686,3524108,4098331,3366106,2858020,4634816,2444209,2038348,1548843,589703,964536,4077385,148670,1264389,1075050
199802,27032,685772,1669012,2791876,3266362,4703435,6504631,4400826,7209936,4433536,5144422,5010802,7245888,4753804,7543351,4155968,5916524,3338396,5551639,1833464,2378245,2993332,1341314,1353242,1159514,1986531,898338,695385,581364
199803,89435,593719,1471366,2833463,3949302,5075071,4570327,7840207,8840741,7364736,4692969,6715984,7088176,7168365,9606926,8574631,7949577,6381224,6965834,2640599,5485782,3304504,3091881,2707821,1547139,519654,1759290,494093,494743
199804,47239,473312,1438002,3738988,5905368,7914817,9578822,7361384,5062177,4900437,5881333,6558430,10442850,4980454,6451331,4864626,5195962,2697252,4668124,2978084,2079955,1540226,1605216,704090,1334007,1593476,1041279,728244,166496
199901,25049,664429,2130295,4173976,4537999,6665608,6048956,5456764,4264284,5901770,8518364,6179643,5488032,7074431,4474584,3303435,4992447,4454006,2586460,10461018,4333914,3692687,2957832,2475622,571077,6640484,1429078,1225085,481455
199902,82599,642342,2190695,2923726,5013543,5471844,6706988,4532470,8034979,6965290,8131191,4335989,5967697,7186357,11971565,5143948,5133817,4738006,4630119,3051893,2215696,2202459,2377746,1234017,1044260,507767,1057333,718337,275661
199903,56504,569103,1287604,3610075,3295469,6131342,5005721,7142248,7545085,16665163,8518493,6667209,7891277,8877899,5405789,7451419,6006078,4811821,3321018,3125172,4244481,2469343,2127911,2912475,2224149,1341727,886822,507167,292718
199904,47798,663750,1945300,2599214,5432277,3703446,5827500,6561061,11073770,7103612,7238239,7578182,9074403,5748953,6284751,6795519,7096025,8078674,3625775,3063225,2326364,3343715,1541110,299224,2335515,1745346,2305777,517378,3397293
200001,68095,601255,1238616,3533101,2555189,5107808,6002281,6990644,6479821,7313734,7480649,10780775,11526159,5007708,5802092,6045166,8831709,3919140,2178571,5392481,2450991,983815,1821645,512608,6238215,876275,1701891,821113,1848798
200002,54710,539959,1410621,2077022,4361551,5812089,8251362,6388066,9408409,7058808,8694990,8093464,7726030,5907815,7043333,8321200,4841689,4203303,3446422,5062723,1819409,851788,1630510,1479462,1925001,3555488,966255,1230471,804237
200003,68755,707108,1046998,2568438,3291672,7463721,6477265,9496823,8663374,8459786,9821174,8129035,7684798,4184047,5654018,10248599,5757602,4192014,3024145,6130296,2612676,2804114,1136924,1143798,1092935,890021,5712606,1740482,1228270
200004,33611,425505,701949,1453056,3026583,3623658,5333579,5634353,7412595,7327024,7782878,9242811,13414127,5824595,4864496,2799887,2878581,3103797,3120282,3880159,5302898,796861,1331355,1595499,479187,1490966,1386804,173536,349699
200101,38224,351849,865194,2144481,3015673,4736438,6054968,8863203,7128842,7844759,5966121,7706224,7825843,6250049,6872789,3234715,4822001,2738793,2117868,2920093,1178879,2305271,3606726,1034742,1897509,2740678,835569,919049,678842
200102,49569,589019,1070298,1695099,3679145,5026469,8451379,7017169,9761625,6673666,8465027,4705450,12860692,5459267,5119537,5215490,5157189,3463965,2273167,3344533,2823683,3701220,1263394,2944407,3628208,1683565,515309,4908270,370029
200103,56854,894767,1073568,2757474,4422421,6341975,6566763,8055730,6407907,5527044,5667064,7577765,16218944,7879938,6808862,6789902,4387719,6434113,4861859,1569716,5682715,4751255,3084393,1854960,1717218,-542364,1121248,783510,3057517
